nombre_familia,cant
Tiliaceas,16990
Moráceas,26589
Rosáceas,2526
Meliáceas,24199
Oleáceas,171501
Lauráceas,1564
Arecaceas,2833
Mirtáceas,2097
Leguminosas,20216
Ulmaceas,872
Malvácea,1292
Salicáceas,4722
Cicadaceas,24
Aceráceas,7647
Fagáceas,782
Rutaceas,2166
No identificada,5882
Platanaceae,33382
Cupresáceas,971
Litráceas,10033
Pináceas,436
Ginkgoaceas,557
Apocynaceae,436
Bignoniáceas,11492
Mioporaceas,7
Araucariaceas,169
Magnoliáceas,313
Bombacáceas,1800
Pitosporáceas,65
Esterculiáceas,220
Anacardiáceas,146
Agavaceae,9
Euforbiáceas,152
Ruscaceae,157
Simarrubáceas,1402
Caprifoliaceas,25
Taxodiáceas,64
Rubiaceae,3
Hamamelidáceas,4115
Musaceae,6
Juglandáceas,138
Solanaceas,28
Betuláceas,87
Proteáceas,157
Verbenaceas,15
Palmaceas,3
Araliaceas,77
Fitolacáceas,69
Casuarinaceas,451
Hipocastanáceas,17
Teaceae,3
Sterculiaceae,68
Buxaceas,5
Adoxaceae,3
Menispermaceas,5
Sapindaceas,4
Celtidacea,2
Borragináceas,2
Ramnaceas,9
Punicaceas,8
Polygonaceas,1
Paulowniaceae,5
Ebenaceas,9
Cervantesiaceae,2
Combretaceae,1
Podocarpaceae,5
