timestamp	db	tiempodejuego	average
01/07/2014 13:00:27	84.50	00:00	90.97
01/07/2014 13:00:37	86.60	00:10	84.57
01/07/2014 13:00:47	86.30	00:20	83.93
01/07/2014 13:00:57	87.30	00:30	84.89
01/07/2014 13:01:07	84.60	00:40	85.11
01/07/2014 13:01:17	83.80	00:50	84.12
01/07/2014 13:01:27	84.40	01:00	84.39
01/07/2014 13:01:37	85.80	01:10	84.73
01/07/2014 13:01:47	85.70	01:20	85.43
01/07/2014 13:01:57	84.90	01:30	84.35
01/07/2014 13:02:07	87.50	01:40	84.80
01/07/2014 13:02:17	84.70	01:50	85.23
01/07/2014 13:02:27	86.40	02:00	86.30
01/07/2014 13:02:37	89.10	02:10	86.37
01/07/2014 13:02:47	85	02:20	86.34
01/07/2014 13:02:57	86.40	02:30	85.63
01/07/2014 13:03:07	85.20	02:40	85.75
01/07/2014 13:03:17	85.20	02:50	85.47
01/07/2014 13:03:27	84.50	03:00	84.64
01/07/2014 13:03:37	85.90	03:10	84.58
01/07/2014 13:03:47	83.60	03:20	84.18
01/07/2014 13:03:57	79.20	03:30	82.81
01/07/2014 13:04:07	87.80	03:40	84.86
01/07/2014 13:04:17	82.70	03:50	83.68
01/07/2014 13:04:27	85.40	04:00	87.52
01/07/2014 13:04:37	88.10	04:10	87.26
01/07/2014 13:04:47	84.70	04:20	84.58
01/07/2014 13:04:57	85.80	04:30	85.70
01/07/2014 13:05:07	86.30	04:40	84.88
01/07/2014 13:05:17	85.70	04:50	84.70
01/07/2014 13:05:27	83.90	05:00	87.36
01/07/2014 13:05:37	86.50	05:10	84.55
01/07/2014 13:05:47	79.70	05:20	82.46
01/07/2014 13:05:57	79.80	05:30	82.78
01/07/2014 13:06:07	76.70	05:40	83.18
01/07/2014 13:06:17	86	05:50	85.37
01/07/2014 13:06:27	82.90	06:00	83.24
01/07/2014 13:06:37	82.50	06:10	83.57
01/07/2014 13:06:47	77.80	06:20	81.98
01/07/2014 13:06:57	82.90	06:30	82.44
01/07/2014 13:07:07	85	06:40	84.20
01/07/2014 13:07:17	83.50	06:50	84.67
01/07/2014 13:07:27	76.80	07:00	84.09
01/07/2014 13:07:37	85.50	07:10	86.10
01/07/2014 13:07:47	81.60	07:20	86.55
01/07/2014 13:07:57	86.60	07:30	85.84
01/07/2014 13:08:07	85.60	07:40	84.53
01/07/2014 13:08:17	84.80	07:50	83.87
01/07/2014 13:08:27	84.80	08:00	84.64
01/07/2014 13:08:37	87.90	08:10	86.64
01/07/2014 13:08:47	89.10	08:20	84.52
01/07/2014 13:08:57	83.10	08:30	84.59
01/07/2014 13:09:07	84.60	08:40	84.45
01/07/2014 13:09:17	85.70	08:50	85.15
01/07/2014 13:09:27	86.20	09:00	84.91
01/07/2014 13:09:37	86.70	09:10	85.60
01/07/2014 13:09:47	85.80	09:20	85.48
01/07/2014 13:09:57	85.40	09:30	86.46
01/07/2014 13:10:07	85.70	09:40	86.16
01/07/2014 13:10:17	85.10	09:50	86.63
01/07/2014 13:10:27	85.70	10:00	86.39
01/07/2014 13:10:37	85.90	10:10	85.21
01/07/2014 13:10:47	85.50	10:20	86.39
01/07/2014 13:10:57	85	10:30	85.01
01/07/2014 13:11:07	85.60	10:40	84.91
01/07/2014 13:11:17	86.80	10:50	84.85
01/07/2014 13:11:27	87.60	11:00	86.82
01/07/2014 13:11:37	86.90	11:10	84.33
01/07/2014 13:11:47	86.60	11:20	84.60
01/07/2014 13:11:57	84.60	11:30	84.84
01/07/2014 13:12:07	81.40	11:40	86.48
01/07/2014 13:12:17	88.10	11:50	87.81
01/07/2014 13:12:27	83.40	12:00	85.50
01/07/2014 13:12:37	84.40	12:10	85.48
01/07/2014 13:12:47	85.80	12:20	85.72
01/07/2014 13:12:57	84.40	12:30	85.69
01/07/2014 13:13:07	85.50	12:40	86.13
01/07/2014 13:13:17	86.30	12:50	86.27
01/07/2014 13:13:27	86.40	13:00	86.59
01/07/2014 13:13:37	88.30	13:10	86.77
01/07/2014 13:13:47	84.50	13:20	85.31
01/07/2014 13:13:57	86.10	13:30	85.11
01/07/2014 13:14:07	84.40	13:40	86.87
01/07/2014 13:14:17	88.30	13:50	89.39
01/07/2014 13:14:27	85.60	14:00	86.67
01/07/2014 13:14:37	87.40	14:10	85.88
01/07/2014 13:14:47	86.30	14:20	85.22
01/07/2014 13:14:57	85.40	14:30	85.70
01/07/2014 13:15:07	86.60	14:40	85.82
01/07/2014 13:15:17	82.70	14:50	82.98
01/07/2014 13:15:27	82	15:00	84.43
01/07/2014 13:15:37	85.40	15:10	83.68
01/07/2014 13:15:47	82.80	15:20	84.56
01/07/2014 13:15:57	88.10	15:30	89.61
01/07/2014 13:16:07	88.50	15:40	86.88
01/07/2014 13:16:17	86.70	15:50	86.30
01/07/2014 13:16:27	85.20	16:00	84.63
01/07/2014 13:16:37	85.60	16:10	85.55
01/07/2014 13:16:47	85.70	16:20	84.97
01/07/2014 13:16:57	87.30	16:30	85.58
01/07/2014 13:17:07	85.50	16:40	83.86
01/07/2014 13:17:17	78.50	16:50	83.74
01/07/2014 13:17:27	85.70	17:00	83.04
01/07/2014 13:17:37	86.50	17:10	84.24
01/07/2014 13:17:47	85.20	17:20	84.81
01/07/2014 13:17:57	86.70	17:30	86.12
01/07/2014 13:18:07	83.40	17:40	85.27
01/07/2014 13:18:17	84.50	17:50	85.71
01/07/2014 13:18:27	87.10	18:00	84.71
01/07/2014 13:18:37	84.50	18:10	83.92
01/07/2014 13:18:47	83.90	18:20	85.75
01/07/2014 13:18:57	89.40	18:30	86.07
01/07/2014 13:19:07	78.80	18:40	83.93
01/07/2014 13:19:17	83.70	18:50	83.86
01/07/2014 13:19:27	80.20	19:00	83.58
01/07/2014 13:19:37	85.40	19:10	86.02
01/07/2014 13:19:47	83.50	19:20	91.59
01/07/2014 13:19:57	86.10	19:30	86.21
01/07/2014 13:20:07	85.50	19:40	85.20
01/07/2014 13:20:17	84.40	19:50	84.56
01/07/2014 13:20:27	83	20:00	85.86
01/07/2014 13:20:37	86.60	20:10	86.28
01/07/2014 13:20:47	84.60	20:20	85.32
01/07/2014 13:20:57	80.80	20:30	83.44
01/07/2014 13:21:07	87.70	20:40	85.84
01/07/2014 13:21:17	84.90	20:50	86.24
01/07/2014 13:21:27	86	21:00	85.06
01/07/2014 13:21:37	88.80	21:10	87.39
01/07/2014 13:21:47	95.10	21:20	84.23
01/07/2014 13:21:57	81.40	21:30	82.54
01/07/2014 13:22:07	79	21:40	84.33
01/07/2014 13:22:17	84.40	21:50	85.16
01/07/2014 13:22:27	84.10	22:00	84.83
01/07/2014 13:22:37	87.70	22:10	86.22
01/07/2014 13:22:47	81.80	22:20	84.73
01/07/2014 13:22:57	86.10	22:30	86.12
01/07/2014 13:23:07	84.10	22:40	86.43
01/07/2014 13:23:17	86.70	22:50	85.17
01/07/2014 13:23:27	84.60	23:00	85.82
01/07/2014 13:23:37	86.90	23:10	85.54
01/07/2014 13:23:47	86.10	23:20	84.85
01/07/2014 13:23:57	85.50	23:30	84.19
01/07/2014 13:24:07	86.90	23:40	87.28
01/07/2014 13:24:17	91.10	23:50	87.66
01/07/2014 13:24:27	93.10	24:00	89.51
01/07/2014 13:24:37	87.30	24:10	85.91
01/07/2014 13:24:47	86.90	24:20	84.60
01/07/2014 13:24:57	84.50	24:30	84.32
01/07/2014 13:25:07	86.60	24:40	89.21
01/07/2014 13:25:17	86.70	24:50	89.46
01/07/2014 13:25:27	81.70	25:00	83.26
01/07/2014 13:25:37	85.70	25:10	84.38
01/07/2014 13:25:47	83.80	25:20	84.34
