timestamp,db,min partido,jugada,clave,valorinicial,avg
6/15/2014 7:00:43 PM,100.40,00:00,Inicio,1tinicio,1,94.17
6/15/2014 7:00:53 PM,96.30,00:10,,,1,93.45
6/15/2014 7:01:03 PM,94.80,00:20,,,1,92.74
6/15/2014 7:01:13 PM,90.60,00:30,,,1,92.46
6/15/2014 7:01:23 PM,92.70,00:40,,,1,93.87
6/15/2014 7:01:33 PM,93.80,00:50,,,1,95.03
6/15/2014 7:01:43 PM,91.10,01:00,,,1,95.96
6/15/2014 7:01:53 PM,94.10,01:10,,,1,96.14
6/15/2014 7:02:03 PM,94.70,01:20,,,1,96.02
6/15/2014 7:02:13 PM,93.20,01:30,,,1,95.74
6/15/2014 7:02:23 PM,93.20,01:40,,,1,95.87
6/15/2014 7:02:33 PM,89.20,01:50,,,1,95.77
6/15/2014 7:02:43 PM,92.00,02:00,,,1,96.25
6/15/2014 7:02:53 PM,104.70,02:10,Gol,gol,1,96.43
6/15/2014 7:03:03 PM,104.30,02:20,,,1,95.32
6/15/2014 7:03:13 PM,103.10,02:30,,,1,94.11
6/15/2014 7:03:23 PM,92.90,02:40,,,1,92.87
6/15/2014 7:03:33 PM,92.90,02:50,,,1,92.83
6/15/2014 7:03:43 PM,91.90,03:00,,,1,92.63
6/15/2014 7:03:53 PM,94.50,03:10,,,1,92.86
6/15/2014 7:04:03 PM,92.20,03:20,,,1,92.58
6/15/2014 7:04:13 PM,94.00,03:30,,,1,92.88
6/15/2014 7:04:23 PM,93.80,03:40,,,1,92.81
6/15/2014 7:04:33 PM,93.60,03:50,,,1,92.50
6/15/2014 7:04:43 PM,92.20,04:00,,,1,92.55
6/15/2014 7:04:53 PM,90.70,04:10,,,1,92.79
6/15/2014 7:05:03 PM,92.50,04:20,,,1,92.59
6/15/2014 7:05:13 PM,90.90,04:30,,,1,92.50
6/15/2014 7:05:23 PM,94.20,04:40,,,1,93.05
6/15/2014 7:05:33 PM,91.70,04:50,,,1,92.96
6/15/2014 7:05:43 PM,95.20,05:00,,,1,92.92
6/15/2014 7:05:53 PM,93.30,05:10,,,1,92.78
6/15/2014 7:06:03 PM,90.70,05:20,,,1,93.00
6/15/2014 7:06:13 PM,94.10,05:30,,,1,93.36
6/15/2014 7:06:23 PM,94.60,05:40,,,1,93.17
6/15/2014 7:06:33 PM,88.70,05:50,,,1,92.93
6/15/2014 7:06:43 PM,91.60,06:00,,,1,93.18
6/15/2014 7:06:53 PM,96.40,06:10,,,1,93.27
6/15/2014 7:07:03 PM,93.30,06:20,,,1,93.00
6/15/2014 7:07:13 PM,91.30,06:30,,,1,92.82
6/15/2014 7:07:23 PM,93.80,06:40,,,1,92.96
6/15/2014 7:07:33 PM,95.50,06:50,,,1,92.69
6/15/2014 7:07:43 PM,94.30,07:00,,,1,92.72
6/15/2014 7:07:53 PM,92.20,07:10,,,1,92.71
6/15/2014 7:08:03 PM,92.20,07:20,,,1,92.93
6/15/2014 7:08:13 PM,91.20,07:30,,,1,93.13
6/15/2014 7:08:23 PM,92.50,07:40,,,1,93.31
6/15/2014 7:08:33 PM,93.70,07:50,,,1,93.22
6/15/2014 7:08:43 PM,91.50,08:00,,,1,93.36
6/15/2014 7:08:53 PM,92.70,08:10,,,1,93.67
6/15/2014 7:09:03 PM,91.10,08:20,,,1,94.01
6/15/2014 7:09:13 PM,95.80,08:30,,,1,94.07
6/15/2014 7:09:23 PM,94.20,08:40,,,1,93.92
6/15/2014 7:09:33 PM,94.40,08:50,,,1,94.07
6/15/2014 7:09:43 PM,94.20,09:00,,,1,93.65
6/15/2014 7:09:53 PM,93.00,09:10,,,1,93.56
6/15/2014 7:10:03 PM,91.60,09:20,,,1,93.59
6/15/2014 7:10:13 PM,95.10,09:30,,,1,93.87
6/15/2014 7:10:23 PM,94.60,09:40,,,1,93.51
6/15/2014 7:10:33 PM,96.10,09:50,,,1,93.54
6/15/2014 7:10:43 PM,91.70,10:00,,,1,93.23
6/15/2014 7:10:53 PM,94.30,10:10,,,1,93.21
6/15/2014 7:11:03 PM,95.70,10:20,,,1,93.26
6/15/2014 7:11:13 PM,90.20,10:30,,,1,91.79
6/15/2014 7:11:23 PM,93.30,10:40,,,1,92.25
6/15/2014 7:11:33 PM,93.30,10:50,,,1,92.15
6/15/2014 7:11:43 PM,94.40,11:00,,,1,92.29
6/15/2014 7:11:53 PM,91.50,11:10,,,1,91.23
6/15/2014 7:12:03 PM,94.90,11:20,,,1,90.82
6/15/2014 7:12:13 PM,93.00,11:30,,,1,91.31
6/15/2014 7:12:23 PM,91.50,11:40,,,1,91.20
6/15/2014 7:12:33 PM,94.80,11:50,,,1,90.93
6/15/2014 7:12:43 PM,81.00,12:00,,,1,90.33
6/15/2014 7:12:53 PM,94.80,12:10,,,1,91.37
6/15/2014 7:13:03 PM,92.30,12:20,,,1,91.24
6/15/2014 7:13:13 PM,94.70,12:30,,,1,90.61
6/15/2014 7:13:23 PM,83.80,12:40,,,1,89.98
6/15/2014 7:13:33 PM,87.40,12:50,,,1,90.71
6/15/2014 7:13:43 PM,99.80,13:00,,,1,91.24
6/15/2014 7:13:53 PM,91.90,13:10,,,1,90.21
6/15/2014 7:14:03 PM,88.80,13:20,,,1,90.22
6/15/2014 7:14:13 PM,88.80,13:30,,,1,90.61
6/15/2014 7:14:23 PM,91.40,13:40,,,1,91.15
6/15/2014 7:14:33 PM,93.50,13:50,,,1,91.22
6/15/2014 7:14:43 PM,86.00,14:00,,,1,91.21
6/15/2014 7:14:53 PM,88.40,14:10,,,1,91.02
6/15/2014 7:15:03 PM,91.10,14:20,,,1,91.13
6/15/2014 7:15:13 PM,92.70,14:30,,,1,91.07
6/15/2014 7:15:23 PM,89.50,14:40,,,1,90.99
6/15/2014 7:15:33 PM,92.00,14:50,,,1,90.64
6/15/2014 7:15:43 PM,92.70,15:00,,,1,89.60
6/15/2014 7:15:53 PM,94.20,15:10,,,1,89.76
6/15/2014 7:16:03 PM,92.10,15:20,,,1,89.76
6/15/2014 7:16:13 PM,93.40,15:30,,,1,89.73
6/15/2014 7:16:23 PM,84.10,15:40,,,1,89.51
6/15/2014 7:16:33 PM,89.50,15:50,,,1,90.21
6/15/2014 7:16:43 PM,90.50,16:00,,,1,90.73
6/15/2014 7:16:53 PM,91.90,16:10,,,1,91.32
6/15/2014 7:17:03 PM,86.00,16:20,,,1,91.79
6/15/2014 7:17:13 PM,81.60,16:30,,,1,92.49
6/15/2014 7:17:23 PM,94.30,16:40,,,1,93.50
6/15/2014 7:17:33 PM,94.20,16:50,,,1,93.19
6/15/2014 7:17:43 PM,91.80,17:00,,,1,93.32
6/15/2014 7:17:53 PM,91.20,17:10,,,1,92.86
6/15/2014 7:18:03 PM,91.10,17:20,,,1,92.88
6/15/2014 7:18:13 PM,94.70,17:30,,,1,92.98
6/15/2014 7:18:23 PM,96.40,17:40,,,1,92.73
6/15/2014 7:18:33 PM,96.60,17:50,,,1,92.39
6/15/2014 7:18:43 PM,93.00,18:00,,,1,92.02
6/15/2014 7:18:53 PM,91.70,18:10,,,1,92.28
6/15/2014 7:19:03 PM,91.20,18:20,,,1,92.51
6/15/2014 7:19:13 PM,95.50,18:30,,,1,91.59
6/15/2014 7:19:23 PM,87.20,18:40,,,1,91.03
6/15/2014 7:19:33 PM,91.40,18:50,,,1,90.81
6/15/2014 7:19:43 PM,92.10,19:00,,,1,91.21
6/15/2014 7:19:53 PM,92.20,19:10,,,1,91.41
6/15/2014 7:20:03 PM,93.00,19:20,,,1,91.53
6/15/2014 7:20:13 PM,92.90,19:30,,,1,91.47
6/15/2014 7:20:23 PM,95.60,19:40,,,1,91.55
6/15/2014 7:20:33 PM,94.00,19:50,,,1,91.08
6/15/2014 7:20:43 PM,82.00,20:00,,,1,90.26
6/15/2014 7:20:53 PM,89.90,20:10,,,1,91.42
6/15/2014 7:21:03 PM,85.00,20:20,,,1,91.73
6/15/2014 7:21:13 PM,95.40,20:30,,,1,91.42
6/15/2014 7:21:23 PM,94.10,20:40,,,1,90.36
6/15/2014 7:21:33 PM,93.40,20:50,,,1,90.31
6/15/2014 7:21:43 PM,92.40,21:00,,,1,90.10
6/15/2014 7:21:53 PM,93.70,21:10,,,1,89.01
6/15/2014 7:22:03 PM,90.90,21:20,,,1,88.42
6/15/2014 7:22:13 PM,85.80,21:30,,,1,88.76
6/15/2014 7:22:23 PM,93.60,21:40,,,1,89.90
6/15/2014 7:22:33 PM,93.00,21:50,,,1,89.79
6/15/2014 7:22:43 PM,81.90,22:00,,,1,89.98
6/15/2014 7:22:53 PM,84.80,22:10,,,1,90.83
6/15/2014 7:23:03 PM,93.60,22:20,,,1,91.24
6/15/2014 7:23:13 PM,91.30,22:30,,,1,91.09
6/15/2014 7:23:23 PM,81.50,22:40,,,1,91.29
6/15/2014 7:23:33 PM,87.80,22:50,,,1,92.30
6/15/2014 7:23:43 PM,94.30,23:00,,,1,92.86
6/15/2014 7:23:53 PM,97.20,23:10,,,1,92.86
6/15/2014 7:24:03 PM,92.50,23:20,,,1,92.00
6/15/2014 7:24:13 PM,94.90,23:30,,,1,92.04
