decibeles,minutosPartido
"79,80",45:00
"80,70",45:00
"81,20",45:01
"81,40",45:02
"81,80",45:03
"81,50",45:04
"83,70",45:05
"82,40",45:06
"81,20",45:07
"83,70",45:08
"82,90",45:09
"82,60",45:10
"82,30",45:11
"81,80",45:12
"79,70",45:13
"80,00",45:14
"83,50",45:15
"81,40",45:16
"80,00",45:17
"81,90",45:18
"82,50",45:19
"82,00",45:20
"82,00",45:21
"82,90",45:22
"82,70",45:23
"78,80",45:24
"79,20",45:25
"82,70",45:27
"84,10",45:27
"83,20",45:28
"84,40",45:29
"84,20",45:30
"84,50",45:31
"82,80",45:32
"82,70",45:33
"82,80",45:34
"84,20",45:35
"84,20",45:36
"83,40",45:37
"83,10",45:38
"86,30",45:39
"83,10",45:40
"82,80",45:41
"85,90",45:42
"88,40",45:43
"81,90",45:45
"84,40",45:45
"82,00",45:46
"82,50",45:47
"84,70",45:48
"83,30",45:49
"83,80",45:50
"83,30",45:51
"84,00",45:52
"82,60",45:53
"84,10",45:54
"81,30",45:55
"84,70",45:56
"78,50",45:57
"83,40",45:58
"82,80",45:59
"79,20",46:00
"81,20",46:01
"83,00",46:02
"92,00",46:03
"89,10",46:04
"82,80",46:05
"81,90",46:06
"81,30",46:07
"81,80",46:08
"82,50",46:09
"82,30",46:10
"82,40",46:12
"82,70",46:12
"81,80",46:13
"79,40",46:14
"81,00",46:15
"80,70",46:16
"84,00",46:17
"82,60",46:18
"79,30",46:19
"81,10",46:20
"82,20",46:21
"81,10",46:22
"81,30",46:23
"80,90",46:24
"80,90",46:25
"84,30",46:26
"83,80",46:27
"84,20",46:28
"82,90",46:30
"81,90",46:30
"82,70",46:31
"82,40",46:32
"80,80",46:33
"83,30",46:34
"84,70",46:35
"84,60",46:36
"85,10",46:37
"82,80",46:38
"83,00",46:39
"81,60",46:40
"82,70",46:41
"82,60",46:42
"83,20",46:43
"82,50",46:44
"81,70",46:45
"84,20",46:46
"85,20",46:47
"84,90",46:48
"84,50",46:49
"85,20",46:50
"86,50",46:51
"84,20",46:52
"81,40",46:53
"82,60",46:54
"85,60",46:55
"83,40",46:57
"84,00",46:57
"82,90",46:58
"81,70",46:59
"82,50",47:00
"83,50",47:01
"82,00",47:02
"83,50",47:03
"83,20",47:04
"83,20",47:05
"83,10",47:06
"83,40",47:07
"84,10",47:08
"80,20",47:09
