decibeles,minutosPartido
"82,50",90:00
"82,30",90:00
"83,60",90:01
"82,70",90:02
"84,10",90:03
"85,60",90:04
"86,20",90:05
"87,10",90:06
"86,40",90:07
"87,30",90:09
"88,80",90:09
"82,10",90:10
"81,80",90:11
"81,50",90:12
"81,50",90:13
"82,90",90:14
"84,40",90:15
"83,20",90:16
"78,30",90:17
"83,90",90:18
"79,10",90:19
"91,60",90:20
"91,10",90:21
"83,60",90:22
"84,60",90:23
"85,30",90:24
"87,10",90:25
"84,90",90:26
"86,20",90:27
"85,50",90:28
"96,00",90:29
"98,80",90:30
"97,40",90:31
"94,50",90:32
"91,80",90:33
"82,30",90:34
"83,00",90:35
"80,20",90:36
"86,60",90:37
"92,20",90:38
"92,20",90:39
"88,10",90:40
"84,60",90:41
"87,40",90:42
"81,70",90:43
"83,60",90:45
"79,80",90:45
"78,10",90:46
"84,20",90:47
"84,60",90:48
"83,60",90:49
"80,00",90:50
"77,40",90:51
"82,70",90:52
"85,60",90:54
"85,90",90:54
"88,60",90:55
"78,90",90:56
"82,00",90:57
"80,50",90:58
"82,70",90:59
"85,20",91:00
"84,80",91:01
"84,70",91:02
"84,80",91:03
"82,50",91:04
"82,70",91:05
"83,40",91:06
"84,10",91:07
"88,20",91:08
"90,80",91:09
"89,10",91:10
"87,10",91:11
"82,20",91:12
"82,10",91:13
"81,80",91:14
"80,10",91:15
"81,60",91:16
"82,20",91:17
"81,40",91:18
"80,50",91:19
"81,20",91:20
"82,10",91:21
"81,80",91:22
"82,30",91:23
"80,20",91:24
"82,60",91:25
"83,50",91:26
"83,30",91:27
"95,30",91:28
"97,10",91:30
"89,10",91:30
"85,50",91:31
"84,60",91:32
"85,20",91:33
"82,10",91:34
"84,10",91:35
"86,10",91:36
"83,00",91:37
"86,00",91:39
"89,10",91:39
"86,30",91:40
"83,10",91:41
"83,10",91:42
"83,40",91:43
"84,30",91:44
"84,20",91:45
"82,90",91:46
"81,60",91:47
"81,60",91:48
"82,10",91:49
"82,00",91:50
"84,60",91:51
"88,00",91:52
"84,10",91:53
"77,50",91:54
"78,60",91:55
"80,70",91:56
"86,10",91:57
"89,50",91:58
"84,70",91:59
"82,60",92:00
"82,20",92:01
"79,30",92:02
"77,90",92:03
"83,80",92:04
"82,30",92:05
"76,40",92:06
"84,00",92:07
"77,20",92:08
"78,50",92:09
"83,80",92:10
"84,50",92:11
"84,80",92:12
"81,80",92:13
"81,10",92:15
"82,90",92:15
"79,80",92:16
"82,10",92:17
"78,40",92:18
"83,80",92:19
"82,70",92:20
"84,80",92:21
"80,80",92:22
"80,40",92:24
"76,30",92:24
"80,30",92:25
"82,20",92:26
"79,50",92:27
"82,00",92:28
"82,90",92:29
"78,40",92:30
"82,20",92:31
"79,60",92:32
"81,70",92:33
"79,50",92:34
"80,60",92:35
"82,60",92:36
"86,50",92:37
"85,00",92:38
"78,90",92:39
"80,60",92:40
"84,50",92:41
"84,10",92:42
"81,50",92:43
"83,30",92:44
"82,40",92:45
"82,30",92:46
"83,80",92:47
"83,70",92:48
"81,30",92:49
"83,00",92:50
"84,30",92:51
"81,20",92:52
"83,20",92:53
"78,10",92:54
"83,60",92:55
"85,80",92:56
"83,00",92:57
"86,10",92:58
"84,50",93:00
"82,20",93:00
"81,10",93:01
"82,70",93:02
"81,30",93:03
"83,40",93:04
"80,60",93:05
"80,20",93:06
"82,50",93:07
"81,10",93:09
"82,00",93:09
"79,40",93:10
"83,10",93:11
"84,90",93:12
"82,70",93:13
"78,00",93:14
"81,20",93:15
"79,30",93:16
"79,90",93:17
"79,40",93:18
"78,00",93:19
"81,00",93:20
"82,90",93:21
"78,90",93:22
"81,60",93:23
"76,20",93:24
"82,60",93:25
"80,00",93:26
"81,70",93:27
"84,50",93:28
"83,40",93:29
"84,80",93:30
"90,80",93:31
"84,90",93:32
"83,30",93:33
"84,50",93:34
"85,80",93:35
"92,90",93:36
"91,80",93:37
"89,20",93:38
"94,10",93:39
"91,50",93:40
"92,20",93:41
"88,90",93:42
"91,40",93:43
"86,50",93:45
"84,00",93:45
"81,50",93:46
"82,30",93:47
"82,40",93:48
"84,30",93:49
"84,20",93:50
"84,40",93:51
"81,80",93:52
"82,40",93:54
"85,20",93:54
"84,50",93:55
"87,00",93:56
"83,60",93:57
"84,90",93:58
"83,50",93:59
"82,90",94:00
"85,00",94:01
"82,60",94:02
"81,60",94:03
"82,20",94:04
"80,50",94:05
"85,00",94:06
"80,60",94:07
"85,00",94:08
"87,50",94:09
"85,70",94:10
"83,00",94:11
"88,30",94:12
"88,70",94:13
"92,00",94:14
"99,30",94:15
"90,80",94:16
"84,70",94:17
"82,40",94:18
"82,10",94:19
"80,70",94:20
"82,20",94:21
"79,20",94:22
"82,00",94:23
"81,00",94:24
"78,50",94:25
"77,80",94:26
"81,90",94:27
"82,00",94:28
"82,40",94:30
"81,30",94:30
"83,20",94:31
"84,50",94:32
"78,70",94:33
"82,00",94:34
"82,90",94:35
"81,10",94:36
"82,60",94:37
"78,20",94:39
"78,90",94:39
"82,80",94:40
"84,10",94:41
"82,80",94:42
"82,20",94:43
"83,00",94:44
"83,90",94:45
"83,20",94:46
"81,90",94:47
"77,40",94:48
"77,10",94:49
"80,70",94:50
"83,30",94:51
"83,90",94:52
"83,70",94:53
"82,30",94:54
"79,30",94:55
"83,90",94:56
"82,20",94:57
"84,40",94:58
"82,50",94:59
"84,10",95:00
"82,40",95:01
"82,30",95:02
"84,00",95:03
"81,70",95:04
"82,40",95:05
"81,40",95:06
"90,70",95:07
"86,50",95:08
"83,40",95:09
"92,50",95:10
"90,50",95:11
"94,30",95:12
"90,00",95:13
"84,10",95:15
"83,40",95:15
"83,50",95:16
"82,00",95:17
"82,90",95:18
"82,50",95:19
"83,20",95:20
"81,60",95:21
"82,90",95:22
"78,60",95:24
"82,90",95:24
"81,20",95:25
"77,40",95:26
"83,30",95:27
"83,30",95:28
"78,80",95:29
"79,30",95:30
"84,60",95:31
"86,20",95:32
"85,30",95:33
"83,40",95:34
"82,50",95:35
"82,10",95:36
"78,60",95:37
"75,70",95:38
"76,50",95:39
"80,20",95:40
"79,20",95:41
"80,30",95:42
"79,90",95:43
"79,70",95:44
"79,50",95:45
"80,70",95:46
"85,20",95:47
"84,60",95:48
"81,90",95:49
"80,10",95:50
"81,30",95:51
"81,50",95:52
"79,10",95:53
"81,20",95:54
"82,50",95:55
"81,00",95:56
"80,90",95:57
"82,00",95:58
"79,70",96:00
"79,70",96:00
"77,70",96:01
"80,20",96:02
"82,40",96:03
"84,60",96:04
"84,70",96:05
"85,40",96:06
"84,70",96:07
"75,40",96:08
"84,90",96:09
"79,50",96:10
"82,60",96:11
"82,80",96:12
"87,00",96:13
"84,00",96:14
"79,10",96:15
"82,50",96:16
"80,40",96:18
"80,90",96:18
"80,40",96:19
"78,50",96:20
"82,00",96:21
"79,30",96:22
"83,60",96:23
"83,00",96:24
"83,60",96:25
"85,00",96:26
"86,00",96:27
"83,70",96:28
"82,20",96:29
"84,10",96:30
"85,60",96:31
"81,60",96:32
"84,00",96:33
"82,50",96:34
"85,00",96:35
"82,40",96:36
"83,20",96:37
"82,40",96:38
"84,70",96:39
"82,70",96:40
"84,40",96:41
"82,90",96:42
"80,20",96:43
"81,00",96:45
"85,00",96:45
"84,10",96:46
"75,90",96:47
"86,10",96:48
"73,40",96:49
"83,80",96:50
"82,20",96:51
"82,30",96:52
"81,00",96:53
"80,50",96:54
"84,10",96:55
"81,10",96:56
"76,40",96:57
"85,60",96:58
"77,60",96:59
"83,80",97:00
"83,40",97:01
"84,60",97:03
"84,80",97:03
"82,20",97:04
"81,30",97:05
"83,70",97:06
"82,30",97:07
"83,00",97:08
"78,70",97:09
"84,50",97:10
"85,60",97:11
"85,00",97:12
"88,00",97:13
"85,60",97:14
"81,10",97:15
"82,40",97:16
"82,40",97:17
"82,50",97:18
"83,00",97:19
"82,10",97:20
"83,00",97:21
"83,30",97:22
"85,60",97:23
"78,60",97:24
"86,00",97:25
"85,30",97:26
"85,60",97:27
"85,50",97:28
"91,30",97:30
"97,10",97:30
"98,40",97:31
"90,60",97:32
"84,90",97:33
"84,80",97:34
"86,90",97:35
"81,40",97:36
"84,00",97:37
"85,30",97:38
"81,30",97:39
"80,50",97:40
"81,10",97:41
"80,90",97:42
"82,20",97:43
"79,50",97:44
"81,60",97:45
"75,40",97:46
"77,50",97:48
"81,70",97:48
"83,90",97:49
"72,90",97:50
"82,20",97:51
"83,60",97:52
"80,10",97:53
"74,30",97:54
"76,10",97:55
"76,90",97:56
"77,70",97:57
"82,40",97:58
"85,50",97:59
"79,00",98:00
"74,90",98:01
"77,10",98:02
"78,10",98:03
"80,10",98:04
"80,00",98:05
"80,10",98:06
"80,20",98:07
"80,10",98:08
"85,00",98:09
"81,50",98:10
"82,40",98:11
"81,10",98:12
"77,70",98:13
"79,00",98:15
"83,50",98:15
"83,90",98:16
"83,30",98:17
"76,80",98:18
"82,30",98:19
"76,10",98:20
"83,10",98:21
"85,30",98:22
"83,90",98:23
"83,20",98:24
"83,30",98:25
"82,50",98:26
"82,50",98:27
"78,90",98:28
"76,10",98:29
"78,10",98:30
"84,10",98:31
"81,70",98:33
"82,60",98:33
"76,90",98:34
"79,40",98:35
"84,80",98:36
"78,40",98:37
"81,90",98:38
"79,60",98:39
"77,20",98:40
"84,40",98:41
"78,10",98:42
"85,00",98:43
"80,50",98:44
"87,30",98:45
"87,60",98:46
"85,40",98:47
"83,10",98:48
"85,80",98:49
"82,70",98:50
"87,30",98:51
"87,40",98:52
"84,80",98:53
"85,00",98:54
"80,10",98:55
"83,90",98:56
"84,30",98:57
"82,50",98:58
"79,50",99:00
"82,70",99:00
"80,10",99:01
"77,60",99:02
"83,10",99:03
"83,60",99:04
"80,70",99:05
"83,20",99:06
"86,20",99:07
"84,70",99:08
"79,20",99:09
"87,50",99:10
"84,70",99:11
"78,70",99:12
"84,80",99:13
"82,40",99:14
"78,20",99:15
"85,00",99:16
"85,20",99:18
"82,50",99:18
"85,40",99:19
"80,70",99:20
"86,30",99:21
"84,70",99:22
"77,80",99:23
"87,60",99:24
"85,10",99:25
"76,90",99:26
"83,80",99:27
"77,50",99:28
"86,30",99:29
"84,40",99:30
"83,10",99:31
"78,80",99:32
"86,00",99:33
"83,40",99:34
"84,00",99:35
"85,30",99:36
"82,80",99:37
"85,30",99:38
"81,90",99:39
"83,60",99:40
"79,90",99:41
"86,10",99:42
"77,80",99:43
"84,60",99:45
"87,40",99:45
"84,20",99:46
"83,90",99:47
"86,60",99:48
"85,80",99:49
"90,50",99:50
"85,40",99:51
"85,50",99:52
"86,70",99:53
"85,60",99:54
"84,20",99:55
"80,70",99:56
"85,00",99:57
"86,90",99:58
"82,60",99:59
"85,80",100:00
"86,20",100:01
"77,70",100:03
"86,60",100:03
"77,70",100:04
"83,40",100:05
"87,60",100:06
"80,30",100:07
"83,10",100:08
"87,30",100:09
"83,60",100:10
"83,80",100:11
"88,30",100:12
"88,20",100:13
"86,60",100:14
"87,30",100:15
"90,50",100:16
"93,70",100:17
"88,10",100:18
"81,00",100:19
"84,20",100:20
"85,40",100:21
"87,00",100:22
"85,60",100:23
"84,40",100:24
"84,40",100:25
"86,30",100:26
"85,40",100:27
"87,30",100:28
"86,90",100:30
"84,90",100:30
